entry_date_utc,exit_date_utc,pair,direction,entry,sl,tp,result,r_multiple,risk_amount,pnl,equity_after,bos_time_utc,ambiguous_bar,reached_1r,no_be_outcome
2023-10-12 04:00,2023-10-12 18:00,GBPJPY,long,183.75100,182.47900,186.29500,loss,-1.0,100.00,-100.00,9900.00,2023-10-12 03:00,,,
2023-10-17 14:00,2023-10-24 08:00,USDJPY,long,149.76600,149.35100,150.59600,loss,-1.0,99.00,-99.00,9801.00,2023-10-17 13:00,,,
2023-10-23 09:00,2023-10-24 15:00,GBPJPY,long,182.37450,181.29000,184.54350,partial,0.5,99.00,49.50,9751.50,2023-10-23 08:00,,yes,
2023-10-23 12:00,2023-10-24 09:00,AUDCHF,short,0.56256,0.56808,0.55152,loss,-1.0,99.00,-99.00,9702.00,2023-10-23 10:00,,,
2023-10-25 11:00,2023-10-26 07:00,USDJPY,long,149.93250,149.31200,151.17350,partial,0.5,97.52,48.76,9800.26,2023-10-25 10:00,yes,yes,
2023-10-25 18:00,2023-10-27 09:00,AUDCHF,short,0.56648,0.57142,0.55660,loss,-1.0,97.52,-97.52,9702.74,2023-10-25 17:00,,,
2023-10-26 20:00,2023-10-27 19:00,GBPJPY,long,182.45500,181.13000,185.10500,loss,-1.0,98.00,-98.00,9604.74,2023-10-26 19:00,,,
2023-10-30 13:00,2023-11-30 08:00,EURCHF,long,0.95652,0.94585,0.97786,partial,0.5,96.05,48.02,9699.35,2023-10-30 12:00,,yes,
2023-10-31 12:00,2023-12-07 07:00,GBPJPY,long,183.76000,180.75950,189.76100,partial,0.5,96.05,48.02,9747.37,2023-10-31 11:00,,yes,
2023-10-31 22:00,2023-11-03 15:00,AUDCHF,long,0.57669,0.57220,0.58567,win,1.5,96.05,144.07,9748.81,2023-10-31 20:00,,yes,
2023-11-03 15:00,2023-11-07 12:00,AUDUSD,long,0.65010,0.64119,0.66792,loss,-1.0,97.49,-97.49,9651.32,2023-11-03 14:00,,,
2023-11-03 15:00,2023-12-13 15:00,NAS100,long,15029.50000,14330.81000,16426.88000,win,1.5,97.49,146.23,10033.57,2023-11-03 14:00,,yes,
2023-11-03 18:00,2023-12-08 14:00,EURUSD,long,1.07369,1.05159,1.11789,partial,0.5,97.49,48.74,9987.21,2023-11-03 17:00,,yes,
2023-11-06 13:00,2024-04-16 03:00,GBPUSD,long,1.24215,1.20948,1.30749,partial,0.5,97.49,48.74,10405.05,2023-11-06 12:00,,yes,
2023-11-09 14:00,2023-11-20 03:00,USDJPY,long,151.05900,149.18050,154.81600,loss,-1.0,96.51,-96.51,9603.07,2023-11-09 11:00,,,
2023-11-14 23:00,2023-11-29 17:00,AUDCHF,long,0.57851,0.57215,0.59123,partial,0.5,96.51,48.26,9651.32,2023-11-14 22:00,,yes,
2023-11-14 23:00,2023-12-21 14:00,AUDUSD,long,0.65023,0.63595,0.67879,win,1.5,96.51,144.77,10127.70,2023-11-14 20:00,,yes,
2023-11-15 04:00,2023-11-16 14:00,CADJPY,long,110.01650,109.56200,110.92550,partial,0.5,96.51,48.26,9699.58,2023-11-15 03:00,,yes,
2023-11-20 05:00,2023-12-07 18:00,CADJPY,short,108.72450,110.68600,104.80150,win,1.5,96.03,144.05,9938.47,2023-11-20 04:00,,yes,
2023-11-21 02:00,2023-12-07 16:00,USDJPY,short,148.10350,150.00100,144.30850,win,1.5,96.03,144.05,9794.42,2023-11-21 01:00,,yes,
